houseID,title,link,region,zone,meters,other,subway,decoration,heating,price,pricepre,updatedate
101092239300,"棕榈泉国际公寓 南北通透顶层复式 精装修",https://bj.lianjia.com/zufang/101092239300.html,棕榈泉国际公寓,5室3厅,316平米,朝阳公园租房/高楼层(共30层)/2003年建板塔结合,距离14号线(东段)朝阳公园站196米,精装修,集中供暖,150000,"2018.05.30 更新","2018-06-09 12:27:36"
101100980518,"钓鱼台7号院  精装修 看房方便 随时签约 随时入住",https://bj.lianjia.com/zufang/101100980518.html,钓鱼台7号院,3室3厅,318平米,甘家口租房/中楼层(共8层)/2009年建板楼,距离9号线白堆子站853米,精装修,集中供暖,100000,"2018.06.06 更新","2018-06-09 12:29:30"
101101083770,"逸翠园 精装修 品牌家具家电 看房提前联系 奢华品质",https://bj.lianjia.com/zufang/101101083770.html,逸翠园,5室3厅,293平米,朝青租房/中楼层(共5层)/2006年建板楼,,精装修,自供暖,45000,"2018.05.30 更新","2018-06-09 12:27:40"
101101438897,"安华西里  带电梯   一居室 家具家电齐全",https://bj.lianjia.com/zufang/101101438897.html,安华西里三区,1室0厅,43平米,安贞租房/中楼层(共16层)/1992年建板塔结合,距离8号线安华桥站993米,,,5000,"2018.06.07 更新","2018-06-09 00:17:04"
101101476207,"领秀新硅谷 大别墅 精装修 可办公 可入住",https://bj.lianjia.com/zufang/101101476207.html,领秀新硅谷2号院,4室2厅,294平米,西二旗租房/低楼层(共3层)/2008年建,距离13号线西二旗站1134米,,,45000,"2018.06.05 更新","2018-06-09 12:29:07"
101101499410,京友公寓精装修南北通透三居室，近地铁，看房方便,https://bj.lianjia.com/zufang/101101499410.html,京友公寓,3室1厅,155平米,马甸租房/中楼层(共13层)/1995年建板楼,距离10号线健德门站507米,精装修,集中供暖,20000,"2018.06.07 更新","2018-06-09 12:26:18"
101101570737,远洋天地精装大复式，居住办公都是不错的选择。,https://bj.lianjia.com/zufang/101101570737.html,远洋天地一期,3室2厅,164平米,四惠租房/高楼层(共9层)/2002年建板楼,距离1号线四惠站1182米,精装修,集中供暖,26000,"2018.06.07 更新","2018-06-09 12:27:46"
101101571713,公园1872大四居，有钥匙随时看房随时起租。,https://bj.lianjia.com/zufang/101101571713.html,公园1872,4室2厅,219平米,石佛营租房/低楼层(共35层)/2014年建板楼,距离6号线十里堡站661米,精装修,集中供暖,33000,"2018.06.04 更新","2018-06-09 12:26:46"
101101612420,"四环边 东润枫景小区 上下复式精装修 看房方便",https://bj.lianjia.com/zufang/101101612420.html,东润枫景三期,3室2厅,167平米,朝阳公园租房/低楼层(共15层)/2003年建板楼,,精装修,集中供暖,13500,"2018.06.06 更新","2018-06-09 12:26:13"
101101663863,润枫德尚苑南北四居楼层好采光没有遮挡办公居家都可以,https://bj.lianjia.com/zufang/101101663863.html,润枫德尚苑,4室2厅,241平米,亚运村租房/中楼层(共24层)/2004年建塔楼,距离15号线安立路站397米,精装修,集中供暖,30000,"2018.05.27 更新","2018-06-09 12:26:49"
